firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,season,kde_density
Victor,Wembanyama,1641705,22400394,2024-12-23 19:00:00,San Antonio,Spurs,Philadelphia,76ers,Regular Season,,,0.0,0.0,0,36.3,26.0,4.0,8.0,0.0,19.0,9.0,0.474,13.0,6.0,0.462,2.0,2.0,1.0,8.0,1.0,9.0,2.0,5.0,-5.0,2024-25,3.304763382877849e-06
Dejounte,Murray,1627749,22400390,2024-12-22 19:00:00,New Orleans,Pelicans,Denver,Nuggets,Regular Season,,,0.0,0.0,1,43.58,17.0,15.0,1.0,6.0,24.0,7.0,0.292,6.0,0.0,0.0,5.0,3.0,0.6,7.0,1.0,8.0,3.0,2.0,-8.0,2024-25,3.3047633831442556e-06
Nikola,Jokic,203999,22401102,2025-04-01 22:00:00,Denver,Nuggets,Minnesota,Timberwolves,Regular Season,,,0.0,0.0,1,52.38,61.0,10.0,0.0,2.0,29.0,18.0,0.621,11.0,6.0,0.545,24.0,19.0,0.792,8.0,2.0,10.0,5.0,4.0,2.0,2024-25,3.3047633831742007e-06
Jayson,Tatum,1628369,22400852,2025-02-28 19:30:00,Boston,Celtics,Cleveland,Cavaliers,Regular Season,,,0.0,0.0,1,40.35,46.0,9.0,3.0,0.0,37.0,19.0,0.514,12.0,4.0,0.333,5.0,4.0,0.8,11.0,5.0,16.0,4.0,3.0,5.0,2024-25,3.304763383449454e-06
Jimmy,Butler,202710,22401221,2024-12-16 19:00:00,Miami,Heat,Detroit,Pistons,Regular Season,,,0.0,0.0,0,44.2,35.0,10.0,1.0,4.0,21.0,12.0,0.571,3.0,1.0,0.333,12.0,10.0,0.833,12.0,7.0,19.0,0.0,0.0,11.0,2024-25,3.3047633839253703e-06
Jay,Huff,1630643,22400210,2024-11-10 21:00:00,Memphis,Grizzlies,Portland,Trail Blazers,Regular Season,,,0.0,1.0,0,19.4,12.0,0.0,6.0,0.0,8.0,4.0,0.5,6.0,2.0,0.333,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,9.0,2024-25,3.304763384323421e-06
Tyrese,Haliburton,1630169,22401055,2025-03-26 19:30:00,Indiana,Pacers,Los Angeles,Lakers,Regular Season,,,0.0,0.0,1,31.44,16.0,18.0,1.0,2.0,16.0,7.0,0.438,9.0,1.0,0.111,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,2024-25,3.3047633847657706e-06
Victor,Wembanyama,1641705,22400168,2024-11-04 22:30:00,San Antonio,Spurs,Los Angeles,Clippers,Regular Season,,,0.0,0.0,0,34.06,24.0,3.0,9.0,3.0,22.0,9.0,0.409,9.0,2.0,0.222,4.0,4.0,1.0,11.0,2.0,13.0,3.0,2.0,-21.0,2024-25,3.30476338548659e-06
Josh,Hart,1628404,22400561,2025-01-15 19:00:00,New York,Knicks,Philadelphia,76ers,Regular Season,,,0.0,1.0,0,49.25,10.0,12.0,0.0,4.0,9.0,4.0,0.444,3.0,0.0,0.0,3.0,2.0,0.667,12.0,5.0,17.0,3.0,3.0,10.0,2024-25,3.304763385584814e-06
Victor,Wembanyama,1641705,22400567,2025-01-15 20:00:00,San Antonio,Spurs,Memphis,Grizzlies,Regular Season,,,0.0,0.0,1,37.03,13.0,2.0,8.0,2.0,19.0,5.0,0.263,10.0,3.0,0.3,0.0,0.0,0.0,12.0,0.0,12.0,3.0,1.0,-4.0,2024-25,3.304763386455964e-06
Shai,Gilgeous-Alexander,1628983,22401094,2025-03-31 20:00:00,Oklahoma City,Thunder,Chicago,Bulls,Regular Season,,,0.0,1.0,1,27.16,27.0,12.0,2.0,0.0,14.0,9.0,0.643,2.0,2.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,29.0,2024-25,3.304763391275113e-06
